NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1988 through 12/31/2004
Location: Latitude 34   Longitude -121
Elevation (meters): Average for one degree lat/lon region = 204   Site = na
Climate zone: 3 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1988 09 30    5.66
1988 10 01    1.85
1988 10 02    4.23
1988 10 03    2.47
1988 10 04    2.76
1988 10 05    3.26
1988 10 06    3.24
1988 10 07    3.85
1988 10 08    5.49
1988 10 09    5.65
1988 10 10    5.50
1988 10 11    3.86
1988 10 12    1.50
1988 10 13    1.98
1988 10 14    5.20
1988 10 15    5.29
1988 10 16    5.29
1988 10 17    4.60
1988 10 18    3.22
1988 10 19    2.45
1988 10 20    1.92
1988 10 21    2.25
1988 10 22    2.75
1988 10 23    3.40
1988 10 24    2.94
1988 10 25    1.58
1988 10 26    1.04
1988 10 27    1.55
1988 10 28    1.61
1988 10 29    3.97
1988 10 30    4.21
1988 10 31    2.77
1988 11 01    2.11
1988 11 02    3.07
1988 11 03    4.15
1988 11 04    4.21
1988 11 05    4.22
1988 11 06    4.25
1988 11 07    2.76
1988 11 08    3.42
1988 11 09    3.68
1988 11 10    2.06
1988 11 11    3.85
1988 11 12    3.95
1988 11 13    1.66
1988 11 14    3.77
1988 11 15    3.82
1988 11 16    3.49
1988 11 17    3.87
1988 11 18    3.93
1988 11 19    3.33
1988 11 20    3.69
1988 11 21    3.66
1988 11 22    2.79
1988 11 23    1.74
1988 11 24    2.94
1988 11 25    2.63
1988 11 26    3.55
1988 11 27    3.63
1988 11 28    3.49
1988 11 29    3.62
1988 11 30    3.55
1988 12 01    3.68
1988 12 02    3.12
1988 12 03    3.53
1988 12 04    3.39
1988 12 05    3.44
1988 12 06    2.82
1988 12 07    3.57
1988 12 08    3.55
1988 12 09    3.50
1988 12 10    3.44
1988 12 11    3.44
1988 12 12    3.50
1988 12 13    2.26
1988 12 14    1.43
1988 12 15    1.71
1988 12 16    1.16
1988 12 17    2.13
1988 12 18    3.25
1988 12 19    1.55
1988 12 20    1.36
1988 12 21    3.26
1988 12 22    0.90
1988 12 23    3.25
1988 12 24    0.79
1988 12 25    1.83
1988 12 26    3.26
1988 12 27    2.46
1988 12 28    3.06
1988 12 29    3.18
1988 12 30    3.11
1988 12 31    3.29
1989 01 01    3.20
1989 01 02    3.29
1989 01 03    3.21
1989 01 04    3.52
1989 01 05    1.30
1989 01 06    3.16
1989 01 07    3.05
1989 01 08    2.95
1989 01 09    3.10
1989 01 10    3.32
1989 01 11    3.84
1989 01 12    3.73
1989 01 13    3.25
1989 01 14    3.43
1989 01 15    3.71
1989 01 16    3.55
1989 01 17    3.81
1989 01 18    3.92
1989 01 19    3.98
1989 01 20    2.00
1989 01 21    3.72
1989 01 22    2.33
1989 01 23    1.55
1989 01 24    3.50
1989 01 25    4.06
1989 01 26    4.05
1989 01 27    3.85
1989 01 28    3.19
1989 01 29    3.93
1989 01 30    4.06
1989 01 31    3.98
1989 02 01    2.00
1989 02 02    3.29
1989 02 03    1.20
1989 02 04    1.54
1989 02 05    4.10
1989 02 06    3.92
1989 02 07    2.86
1989 02 08    1.12
1989 02 09    3.23
1989 02 10    4.31
1989 02 11    4.20
1989 02 12    4.24
1989 02 13    2.66
1989 02 14    4.39
1989 02 15    4.37
1989 02 16    4.00
1989 02 17    4.00
1989 02 18    3.27
1989 02 19    3.36
1989 02 20    5.16
1989 02 21    4.94
1989 02 22    4.84
1989 02 23    2.90
1989 02 24    2.44
1989 02 25    4.18
1989 02 26    3.34
1989 02 27    5.59
1989 02 28    4.72
1989 03 01    3.40
1989 03 02    2.55
1989 03 03    5.75
1989 03 04    4.54
1989 03 05    5.33
1989 03 06    4.61
1989 03 07    4.53
1989 03 08    4.38
1989 03 09    3.92
1989 03 10    3.55
1989 03 11    4.08
1989 03 12    5.77
1989 03 13    6.29
1989 03 14    6.12
1989 03 15    6.13
1989 03 16    3.67
1989 03 17    6.15
1989 03 18    5.99
1989 03 19    5.08
1989 03 20    6.56
1989 03 21    5.98
1989 03 22    5.83
1989 03 23    3.69
1989 03 24    2.47
1989 03 25    3.44
1989 03 26    6.42
1989 03 27    6.66
1989 03 28    6.72
1989 03 29    7.11
1989 03 30    7.06
1989 03 31    6.10
1989 04 01    6.80
1989 04 02    6.51
1989 04 03    6.96
1989 04 04    7.25
1989 04 05    7.28
1989 04 06    7.39
1989 04 07    7.39
1989 04 08    7.41
1989 04 09    5.71
1989 04 10    3.29
1989 04 11    3.65
1989 04 12    4.87
1989 04 13    4.43
1989 04 14    3.71
1989 04 15    4.29
1989 04 16    1.90
1989 04 17    3.23
1989 04 18    5.48
1989 04 19    4.29
1989 04 20    5.61
1989 04 21    7.48
1989 04 22    7.70
1989 04 23    6.55
1989 04 24    7.76
1989 04 25    4.29
1989 04 26    8.05
1989 04 27    8.14
1989 04 28    8.01
1989 04 29    5.24
1989 04 30    6.29
1989 05 01    7.93
1989 05 02    7.95
1989 05 03    8.09
1989 05 04    6.57
1989 05 05    5.30
1989 05 06    4.22
1989 05 07    3.93
1989 05 08    4.92
1989 05 09    1.98
1989 05 10    8.09
1989 05 11    5.92
1989 05 12    8.01
1989 05 13    3.70
1989 05 14    6.66
1989 05 15    7.79
1989 05 16    5.45
1989 05 17    4.61
1989 05 18    7.73
1989 05 19    8.56
1989 05 20    6.63
1989 05 21    8.33
1989 05 22    8.62
1989 05 23    8.27
1989 05 24    8.66
1989 05 25    8.74
1989 05 26    8.80
1989 05 27    6.78
1989 05 28    8.84
1989 05 29    9.02
1989 05 30    7.55
1989 05 31    5.39
1989 06 01    5.35
1989 06 02    4.34
1989 06 03    4.14
1989 06 04    6.88
1989 06 05    6.00
1989 06 06    5.75
1989 06 07    2.96
1989 06 08    5.51
1989 06 09    6.34
1989 06 10    6.08
1989 06 11    6.38
1989 06 12    8.17
1989 06 13    8.77
1989 06 14    8.38
1989 06 15    7.68
1989 06 16    8.51
1989 06 17    9.01
1989 06 18    9.01
1989 06 19    8.87
1989 06 20    8.75
1989 06 21    8.30
1989 06 22    6.61
