STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TPCP
GHCND:US1CASZ0003,DAVENPORT 4.2 NW CA US,150.9,37.0651,-122.2178,20140901,51
GHCND:US1CASZ0003,DAVENPORT 4.2 NW CA US,150.9,37.0651,-122.2178,20141101,968
GHCND:US1CASZ0003,DAVENPORT 4.2 NW CA US,150.9,37.0651,-122.2178,20141201,4181
GHCND:US1CASZ0003,DAVENPORT 4.2 NW CA US,150.9,37.0651,-122.2178,20150201,498
GHCND:US1CASZ0003,DAVENPORT 4.2 NW CA US,150.9,37.0651,-122.2178,20150301,71
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20100301,175
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20100401,1008
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20100501,165
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20101001,518
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20101101,992
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20101201,2219
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20110101,493
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20110201,1454
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20110301,2500
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20110401,132
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20110501,317
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20111001,703
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20111101,580
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20120201,63
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20141201,1537
GHCND:US1CASZ0025,SANTA CRUZ 2.6 ESE CA US,11,36.961,-121.9912,20150201,483
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20080901,0
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20081001,336
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20081101,123
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20081201,382
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20090101,407
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20090201,4355
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20090301,1075
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20090401,148
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20090501,414
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20090601,21
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20090901,61
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20091001,2797
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20091101,79
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20091201,797
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20100101,3241
GHCND:US1CASZ0002,BEN LOMOND 1.2 SSE CA US,121,37.0877,-122.0734,20100201,889
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100201,1151
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100301,1052
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100401,1770
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100501,347
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100601,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100701,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100801,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20100901,0
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20101001,859
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20101101,1546
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20101201,3870
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110101,711
GHCND:US1CASZ0024,FELTON 4.5 NNE CA US,255.4,37.1051,-122.0468,20110201,2590
